block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
839401	663ac3e8467631f9b10c5f071c35a456198b6f984d6564cd05c6fb7db4e7e000	0	2024-04-16 00:00:28	1030000	653.7204	1KHNrkDHg2UGUusLdFFVS8TT7As8vA4VYf	pubkeyhash	76a914c88b2a553d77f03d6dedae1d35dfc416563bbcb388ac	0	-1
839401	663ac3e8467631f9b10c5f071c35a456198b6f984d6564cd05c6fb7db4e7e000	1	2024-04-16 00:00:28	96345	61.1482	bc1q8r6yw0qqt3shjn2ca7jwwx2hg9cke9vvuxkape	witness_v0_scripthash	001438f4473c005c61794d58efa4e7195741716c958c	0	-1
839401	bd5a14b1558e3d1c6afc89d593d9735a3927aed18d440729546a9a04bd58fc00	0	2024-04-16 00:00:28	158791	100.7815	bc1qxmwqtuj9f4sjg5g6l7zlzjwmlvn2868j3m55y9	witness_v0_scripthash	001436dc05f2454d6124511aff85f149dbfb26a3e8f2	0	-1
839401	bd5a14b1558e3d1c6afc89d593d9735a3927aed18d440729546a9a04bd58fc00	1	2024-04-16 00:00:28	52005	33.0065	bc1qujv3s5s7a9r0jw8ndjpnvaxteyzm8072he4vv4	witness_v0_scripthash	0014e49918521ee946f938f36c833674cbc905b3bfca	0	-1
839401	c7a11e924f9759ed3a70b150b82a945fde7225f08df32a22f6b7e83d9ed9b404	0	2024-04-16 00:00:28	2359556	1497.563	bc1quecfar5cgj50r6a8738hfqyu3ljk7mfy89u46t	witness_v0_scripthash	0014e6709e8e9844a8f1eba7f44f74809c8fe56f6d24	0	-1
839401	c7a11e924f9759ed3a70b150b82a945fde7225f08df32a22f6b7e83d9ed9b404	1	2024-04-16 00:00:28	354475	224.9782	bc1qe8qhrtv29xnszxvflqdt2c6gu72z3tw0fjtw2s	witness_v0_scripthash	0014c9c171ad8a29a7011989f81ab56348e79428adcf	0	-1
839401	c1dd3a93c76903b17fc6db775b9546225c71f9f6c919848560ccfb173185e605	0	2024-04-16 00:00:28	436080	276.7712	bc1q4drhqwruk9s2394yj40myc6c8pfhq96sgtgtn4	witness_v0_scripthash	0014ab4770387cb160a896a4955fb263583853701750	0	-1
839401	b0997820699d3272bb9a22793ff4a9d71ce76027af743436a37072c9d8558108	0	2024-04-16 00:00:28	296593	188.2416	3KoEhULD46qh6qMaxQh7MymdgzVnRGa4mR	scripthash	a914c69f6c70ffe1f953e6238f8e4497d56dcee47bd087	0	-1
839401	5d96b2d94f1170492b0a21d10113e675037b2036d6f2369f070bafd4f1f39f09	0	2024-04-16 00:00:28	1270000	806.0436	1KbwYqP8w749abnMrfmGEiBu5GSxYoj5Ep	pubkeyhash	76a914cc0df120e492ad80c03df4c504700cfc55bb0b8988ac	0	-1
839401	5d96b2d94f1170492b0a21d10113e675037b2036d6f2369f070bafd4f1f39f09	1	2024-04-16 00:00:28	237788	150.9193	bc1qcaws2uhtlp8w3ms778gklj5q8vfd2x4fadgr4m	witness_v0_scripthash	0014c75d0572ebf84ee8ee1ef1d16fca803b12d51aa9	0	-1
839401	1c9674976b5f780524e53c72ba691f63e539902fe044fce3d46b22752344d709	0	2024-04-16 00:00:28	2099024	1332.2085	bc1qxv7mwnwhjuugjvlacjd405m0clu86r7jd4r6r4	witness_v0_scripthash	0014333db74dd797388933fdc49b57d36fc7f87d0fd2	0	-1
